weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1666808820,7200,2746300,Gemeente Tilburg,200,5.0667,51.55,289.05,288.94,288.07,290.29,1018,86,3.09,190,100,2,2009239,NL,1666765338,1666801492
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1666809817,7200,2746300,Gemeente Tilburg,200,5.0667,51.55,289.06,288.98,287.54,290.29,1018,87,3.09,190,100,2,2009239,NL,1666765338,1666801492
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1666809817,7200,2746300,Gemeente Tilburg,200,5.0667,51.55,289.06,288.98,287.54,290.29,1018,87,3.09,190,100,2,2009239,NL,1666765338,1666801492
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1666809817,7200,2746300,Gemeente Tilburg,200,5.0667,51.55,289.06,288.98,287.54,290.29,1018,87,3.09,190,100,2,2009239,NL,1666765338,1666801492
